model_code,price,tank_type,motor_speed,drum_capacity,door_opening_direction,height,depth,width,motor_type,energy_label,safety_system,brand
X.VISION-WM-TE62,17300000.0,Crystal Honeycomb Drum,1400.0,6.0,left,85.0,47.0,59.5,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TE62-ASBL,17300000.0,Crystal Honeycomb Drum,1400.0,6.0,left,85.0,47.0,59.5,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TE62-AWBL,17300000.0,Crystal Honeycomb Drum,1400.0,6.0,left,85.0,47.0,59.5,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TE72,20692857.14285714,Stainless Steel,1200.0,7.0,left,85.0,49.5,59.5,Universal Belt Drive,3.0,1.0,X.VISION
X.VISION-WM-TF84-ASBL,20400000.0,Unknown,1400.0,8.0,left,59.5,52.0,85.0,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TF84-AWBL,20400000.0,Unknown,1400.0,8.0,left,59.5,52.0,85.0,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TF84AWBL,20400000.0,Unknown,1400.0,8.0,left,59.5,52.0,85.0,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TF94-ASBL,23000000.0,Unknown,1400.0,9.0,left,85.0,56.0,59.5,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TF94-AWBL,23000000.0,Unknown,1400.0,9.0,left,85.0,56.0,59.5,BLDC Inverter,3.0,1.0,X.VISION
X.VISION-WM-TG72-BS,19300000.0,Stainless Steel,1200.0,7.0,left,85.0,52.0,59.5,Universal,3.0,1.0,X.VISION
X.VISION-WM-TG72-BW,19300000.0,Stainless Steel,1200.0,7.0,left,85.0,52.0,59.5,Universal,3.0,1.0,X.VISION
X.VISION-WM-TG72-BW-BS,19300000.0,Stainless Steel,1200.0,7.0,left,85.0,52.0,59.5,Universal,3.0,1.0,X.VISION
X.VISION-WM-TG82AS,19600000.0,Unknown,1400.0,8.0,left,85.0,52.0,59.5,Universal,3.0,1.0,X.VISION
X.VISION-WM-TG82AW,19600000.0,Unknown,1400.0,8.0,left,85.0,52.0,59.5,Universal,3.0,1.0,X.VISION
X.VISION-WM-TV102-AWD,33500000.0,Unknown,1400.0,10.0,left,85.0,62.0,59.5,Direct Drive Inverter,3.0,1.0,X.VISION
